SA-1E11-0.95,,,,RHC,,,,GA-200-100-10,,,,MIMIC-200-20,,
Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness,,Iterations,Training Time,Fitness
50,0.001407758,1,,50,9.48E-04,3,,50,0.038445017,8,,50,1.278645424,24
150,0.001571971,0,,150,0.001255462,6,,150,0.050102545,10,,150,2.397100865,34
250,0.001607472,0,,250,0.001377786,6,,250,0.029587538,10,,250,4.178750849,42
350,0.001691694,4,,350,0.001037745,6,,350,0.050773428,15,,350,5.580669256,55
450,0.001632165,11,,450,0.001454137,9,,450,0.100421469,17,,450,6.944301979,71
550,0.002118527,13,,550,0.002227566,13,,550,0.071611821,23,,550,8.422701344,94
650,0.001864133,14,,650,0.002016547,18,,650,0.185733239,24,,650,9.792113945,124
750,0.001594289,24,,750,0.001852594,21,,750,0.100974917,24,,750,11.13717642,152
850,0.001750869,28,,850,0.001055995,28,,850,0.209398585,30,,850,11.94347168,172
950,0.001661226,35,,950,0.001175843,37,,950,0.189824057,33,,950,13.29176871,185
1050,0.00159567,39,,1050,0.001320948,42,,1050,0.125387199,41,,1050,14.68010637,190
1150,0.002249395,44,,1150,0.001801452,49,,1150,0.119607414,49,,1150,17.72128576,200
1250,0.002582851,47,,1250,0.00183592,54,,1250,0.31207967,58,,1250,21.64096805,200
1350,0.002242129,51,,1350,0.002003683,63,,1350,0.140186281,66,,1350,27.2155098,200
1450,0.002528801,51,,1450,0.001831172,73,,1450,0.172177654,68,,1450,38.81732572,200
1550,0.002467145,59,,1550,0.002238199,90,,1550,0.161657637,71,,1550,40.28194022,200
1650,0.002918036,61,,1650,0.001891958,98,,1650,0.17834264,73,,1650,33.73055869,200
1750,0.002738272,78,,1750,0.00205118,105,,1750,0.191703745,73,,1750,31.36556138,200
1850,0.003183216,83,,1850,0.002204518,107,,1850,0.194249731,76,,1850,33.76538741,200
1950,0.004332923,87,,1950,0.002297906,111,,1950,0.207351116,84,,1950,34.68699734,200
2050,0.004510923,109,,2050,0.002584061,117,,2050,0.221664029,84,,2050,37.50811144,200
2150,0.004878594,112,,2150,0.002686741,130,,2150,0.227291169,89,,2150,39.56463557,200
2250,0.00415233,124,,2250,0.003020059,133,,2250,0.241770999,95,,2250,41.26931339,200
2350,0.003650994,137,,2350,0.003265847,147,,2350,0.255439602,96,,2350,42.85348777,200
2450,0.004009569,142,,2450,0.003618702,158,,2450,0.270105785,98,,2450,44.38871662,200
2550,0.004171024,163,,2550,0.00363621,169,,2550,0.279880519,102,,2550,46.86007405,200
2650,0.004512761,167,,2650,0.003023856,186,,2650,0.285904297,102,,2650,47.73864807,200
2750,0.004706767,180,,2750,0.006642664,200,,2750,0.296590861,105,,2750,49.78466785,200
2850,0.002966408,195,,2850,0.005475481,200,,2850,0.31281864,106,,2850,51.28136645,200
2950,0.005887386,200,,2950,0.00135874,200,,2950,0.325922892,115,,2950,53.49880067,200
3050,0.005330082,200,,3050,0.001350055,200,,3050,0.337695546,112,,3050,56.54023862,200
3150,0.003131477,200,,3150,0.001233602,200,,3150,0.346452949,115,,3150,57.60895939,200
3250,0.003223309,200,,3250,0.001592656,200,,3250,0.354594512,123,,3250,60.08068385,200
3350,0.002966501,200,,3350,0.001331404,200,,3350,0.373883696,136,,3350,60.05397692,200
3450,0.003377285,200,,3450,0.001360915,200,,3450,0.386867873,136,,3450,62.01650299,200
3550,0.00315416,200,,3550,0.001170429,200,,3550,0.398017354,143,,3550,63.26854007,200
3650,0.003062266,200,,3650,0.001309234,200,,3650,0.450429704,148,,3650,65.08095448,200
3750,0.002893914,200,,3750,0.00152267,200,,3750,0.43417474,149,,3750,66.94719303,200
3850,0.003037951,200,,3850,0.001216597,200,,3850,0.472010417,158,,3850,69.14089739,200
3950,0.00442829,200,,3950,0.002612787,200,,3950,0.449597457,162,,3950,71.67294292,200
4050,0.003100814,200,,4050,0.001469456,200,,4050,0.47897982,161,,4050,71.93622267,200
4150,0.003752469,200,,4150,0.00147676,200,,4150,0.4793927,166,,4150,74.467945,200
4250,0.003717903,200,,4250,0.001407724,200,,4250,0.474291429,167,,4250,76.79670976,200
4350,0.003666071,200,,4350,0.001480663,200,,4350,0.5091183,173,,4350,77.05851471,200
4450,0.003903619,200,,4450,0.001272951,200,,4450,0.495744565,173,,4450,79.68268933,200
4550,0.00450261,200,,4550,0.001543681,200,,4550,0.49699578,182,,4550,83.41043891,200
4650,0.004386823,200,,4650,0.001280037,200,,4650,0.52460716,186,,4650,74.59045482,200
4750,0.003774147,200,,4750,0.001197623,200,,4750,0.538964033,191,,4750,74.96526962,200
4850,0.004971,200,,4850,0.002099049,200,,4850,0.558498,200,,4850,91.03141517,200
4950,0.003864404,200,,4950,0.001852314,200,,4950,0.541943468,200,,4950,88.65460231,200