,RHC-training,RHC-testing,,,,,SA-0.3-training,SA-0.3-testing,,,,,GA-400-training,GA-400-testing,,
Iterations,Training Accuracy,Testing Accuracy,Training Time,Testing Time,,Iterations,Training Accuracy,Testing Accuracy,Training Time,Testing Time,,Iterations,Training Accuracy,Testing Accuracy,Training Time,Testing Time
100,70.478,69.942,0.154,0.002,,100,69.247,69.364,0.059,0.001,,100,69.32,71.676,15.125,0.001
200,71.997,70.231,0.273,0.002,,200,69.971,69.942,0.119,0.001,,200,69.392,71.676,28.949,0.001
300,77.062,77.746,0.389,0.002,,300,76.411,76.59,0.174,0.001,,300,69.465,72.543,42.157,0.001
400,77.641,77.746,0.494,0.002,,400,76.411,76.59,0.231,0.001,,400,70.188,73.41,55.317,0.001
500,77.786,77.746,0.567,0.001,,500,77.207,76.879,0.288,0.001,,500,74.964,78.035,68.697,0.001
600,78.075,77.746,0.625,0.001,,600,78.003,76.59,0.345,0.001,,600,75.904,77.168,82.292,0.001
700,79.595,79.48,0.696,0.001,,700,77.641,77.168,0.402,0.001,,700,73.734,76.879,96.186,0.001
800,79.45,79.191,0.754,0.001,,800,78.437,77.746,0.458,0.001,,800,75.181,78.613,109.576,0.001
900,78.871,78.902,0.812,0.001,,900,78.799,76.879,0.516,0.001,,900,75.253,79.48,123.551,0.001
1000,79.45,80.636,0.872,0.001,,1000,78.799,76.879,0.575,0.001,,1000,75.687,79.769,137.574,0.001
1100,79.45,80.058,0.938,0.001,,1100,78.654,77.746,0.633,0.001,,1100,76.411,80.636,151.256,0.001
1200,79.595,79.48,0.998,0.001,,1200,78.654,77.168,0.691,0.001,,1200,76.918,80.347,165.856,0.001
1300,79.378,79.48,1.057,0.001,,1300,79.088,76.879,0.749,0.001,,1300,76.7,79.191,179.886,0.001
1400,79.378,79.48,1.117,0.001,,1400,79.016,76.879,0.805,0.001,,1400,77.352,81.503,194.057,0.001
1500,79.522,79.769,1.174,0.001,,1500,79.016,76.879,0.861,0.001,,1500,77.062,80.058,208.422,0.001
1600,79.522,79.769,1.231,0.001,,1600,79.161,76.879,0.922,0.001,,1600,77.207,80.347,222.093,0.001
1700,79.522,80.347,1.292,0.001,,1700,78.944,76.59,0.979,0.001,,1700,76.556,79.48,236.189,0.001
1800,79.522,80.058,1.349,0.001,,1800,79.161,77.168,1.037,0.001,,1800,77.062,79.48,249.311,0.001
1900,79.522,79.48,1.408,0.001,,1900,79.378,76.59,1.096,0.001,,1900,76.411,80.636,262.571,0.001
2000,79.595,79.48,1.465,0.001,,2000,79.595,77.168,1.153,0.001,,2000,75.904,80.347,276.973,0.001
2100,79.667,79.48,1.522,0.001,,2100,79.595,77.168,1.211,0.001,,2100,76.049,80.058,291.602,0.001
2200,79.595,80.058,1.577,0.001,,2200,79.595,76.879,1.269,0.001,,2200,75.977,79.769,306.287,0.001
2300,79.595,79.48,1.633,0.001,,2300,79.884,76.301,1.326,0.001,,2300,75.977,80.058,321.544,0.001
2400,79.884,79.769,1.69,0.001,,2400,79.884,76.301,1.382,0.001,,2400,76.049,80.925,336.661,0.001
2500,79.667,79.48,1.746,0.001,,2500,79.812,76.301,1.44,0.001,,2500,75.977,80.347,350.863,0.001
2600,79.667,79.48,1.803,0.001,,2600,79.667,76.879,1.498,0.001,,2600,75.977,80.347,365.454,0.001
2700,79.74,79.48,1.861,0.001,,2700,79.595,76.59,1.555,0.001,,2700,75.977,80.347,380.874,0.001
2800,79.74,79.48,1.918,0.001,,2800,79.667,76.59,1.612,0.001,,2800,77.207,78.902,395.457,0.001
2900,79.812,79.769,1.974,0.001,,2900,79.884,76.301,1.668,0.001,,2900,76.483,80.347,409.442,0.001
3000,79.812,80.636,2.03,0.001,,3000,80.897,76.879,1.726,0.001,,3000,76.049,80.925,424.428,0.001
3100,79.667,79.769,2.088,0.001,,3100,80.608,77.168,1.782,0.001,,3100,75.977,80.347,440.507,0.001
3200,79.884,80.347,2.146,0.001,,3200,80.608,77.168,1.839,0.001,,3200,76.339,80.347,455.64,0.001
3300,79.812,80.347,2.202,0.001,,3300,80.608,76.879,1.895,0.001,,3300,76.7,80.347,470.132,0.001
3400,79.812,80.058,2.261,0.001,,3400,81.404,77.457,1.953,0.001,,3400,76.483,80.058,486.754,0.001
3500,79.74,79.48,2.32,0.001,,3500,81.404,77.457,2.012,0.001,,3500,76.556,80.636,504.909,0.001
3600,80.029,80.058,2.377,0.001,,3600,80.825,77.457,2.069,0.001,,3600,77.496,80.058,519.252,0.001
3700,79.957,79.48,2.436,0.001,,3700,81.404,77.168,2.126,0.001,,3700,76.411,80.347,533.328,0.001
3800,79.957,80.058,2.493,0.001,,3800,81.476,77.457,2.184,0.001,,3800,76.411,80.925,549.346,0.001
3900,80.101,80.636,2.549,0.001,,3900,81.476,77.457,2.243,0.001,,3900,76.7,80.058,563.514,0.001
4000,80.101,80.636,2.604,0.001,,4000,81.476,77.457,2.303,0.001,,4000,76.266,80.636,577.478,0.001
4100,80.101,80.636,2.66,0.001,,4100,81.476,77.746,2.362,0.001,,4100,76.845,80.347,590.989,0.001
4200,79.957,80.347,2.717,0.001,,4200,81.476,77.746,2.42,0.001,,4200,76.918,79.769,604.853,0.001
4300,79.957,80.058,2.775,0.001,,4300,81.404,77.457,2.481,0.001,,4300,77.279,78.902,618.796,0.001
4400,80.029,80.058,2.83,0.001,,4400,81.404,77.457,2.538,0.001,,4400,77.207,80.347,633.045,0.001
4500,79.957,80.058,2.888,0.001,,4500,81.404,77.457,2.596,0.001,,4500,77.207,79.48,646.999,0.001
4600,80.101,80.058,2.948,0.001,,4600,81.404,77.457,2.654,0.001,,4600,77.135,79.191,660.954,0.001
4700,80.101,80.058,3.004,0.001,,4700,81.404,77.457,2.71,0.001,,4700,77.062,79.769,674.943,0.001
4800,80.029,80.058,3.063,0.001,,4800,81.404,77.746,2.765,0.001,,4800,77.496,79.191,689.183,0.001
4900,79.957,80.058,3.12,0.001,,4900,81.476,77.746,2.823,0.001,,4900,76.99,79.48,702.705,0.001
5000,79.957,79.769,3.179,0.001,,5000,81.476,77.746,2.882,0.001,,5000,77.062,80.058,716.332,0.001
,79.23592,79.31812,1.76158,0.00108,,,,76.79804,1.46834,0.001,,,75.89866,79.27184,362.56618,0.001